gvkey,conm,year,revt,sum_n_keyword
206454,GAZPROM PJSC,2015,83097.32800640549,665
206454,GAZPROM PJSC,2016,100091.04471920241,733
206454,GAZPROM PJSC,2017,113716.98614409559,645
206454,GAZPROM PJSC,2018,118431.51919618933,484
206454,GAZPROM PJSC,2019,123368.74404261957,579
206454,GAZPROM PJSC,2020,83556.83580422343,507
206457,PJSC LUKOIL,2015,78660.57624106386,402
206457,PJSC LUKOIL,2016,85612.17945068424,359
206457,PJSC LUKOIL,2017,103130.07220077273,435
206457,PJSC LUKOIL,2018,115720.09483282603,457
206457,PJSC LUKOIL,2019,126294.03180146262,651
206457,PJSC LUKOIL,2020,72791.48756560957,662
208175,OIL & NATURAL GAS CORP LTD,2016,19403.755181623328,871
208175,OIL & NATURAL GAS CORP LTD,2017,49576.630847645596,938
208175,OIL & NATURAL GAS CORP LTD,2018,60820.514460315884,770
208175,OIL & NATURAL GAS CORP LTD,2019,52696.233476768866,859
208175,OIL & NATURAL GAS CORP LTD,2020,41551.721842068386,1064
208175,OIL & NATURAL GAS CORP LTD,2021,64734.14459462411,1251
208175,OIL & NATURAL GAS CORP LTD,2022,76997.38163912461,1528
209382,VALE SA,2015,21582.67032982608,376
209382,VALE SA,2016,29068.10108554174,371
209382,VALE SA,2017,32757.661626009143,334
209382,VALE SA,2018,34738.26105110942,373
209382,VALE SA,2019,36978.513441718715,295
209382,VALE SA,2020,39661.861528308196,977
209382,VALE SA,2021,52682.89846274238,865
209382,VALE SA,2022,42845.84932597908,851
209382,VALE SA,2023,42881.673637907355,1029
212777,INDIAN OIL CORP LTD,2015,53701.79946024152,479
212777,INDIAN OIL CORP LTD,2016,54810.76339638992,726
212777,INDIAN OIL CORP LTD,2017,64752.98147890755,1088
212777,INDIAN OIL CORP LTD,2018,77923.13924824577,958
212777,INDIAN OIL CORP LTD,2019,64828.6459820574,5
212777,INDIAN OIL CORP LTD,2020,50682.85636859428,1114
212777,INDIAN OIL CORP LTD,2021,77656.19830068895,927
212777,INDIAN OIL CORP LTD,2022,102499.3505394968,1049
212777,INDIAN OIL CORP LTD,2023,93180.38490654409,1240
220546,EQUINOR ASA,2015,52581.91512941801,488
220546,EQUINOR ASA,2016,45688,546
220546,EQUINOR ASA,2017,60971,593
220546,EQUINOR ASA,2018,78555,617
220546,EQUINOR ASA,2019,62911,766
220546,EQUINOR ASA,2020,45753,1067
220546,EQUINOR ASA,2021,88744,1048
220546,EQUINOR ASA,2022,149004,1602
220546,EQUINOR ASA,2023,106848,1560
267407,GLENCORE PLC,2015,170497,361
267407,GLENCORE PLC,2016,152948,451
267407,GLENCORE PLC,2017,205476,513
267407,GLENCORE PLC,2018,219754,705
267407,GLENCORE PLC,2019,215111,812
267407,GLENCORE PLC,2020,142338,1196
267407,GLENCORE PLC,2021,203751,939
267407,GLENCORE PLC,2022,255984,1134
267407,GLENCORE PLC,2023,217829,1097
269556,ROSNEFT OIL COMPANY,2015,68931.73360859268,353
269556,ROSNEFT OIL COMPANY,2016,78044.48499726143,583
269556,ROSNEFT OIL COMPANY,2017,97767.37202639325,535
269556,ROSNEFT OIL COMPANY,2018,112740.80844648239,593
269556,ROSNEFT OIL COMPANY,2019,133940.59674456881,677
269556,ROSNEFT OIL COMPANY,2020,67701.35547089452,813
269556,ROSNEFT OIL COMPANY,2021,115062.14353728517,196
269556,ROSNEFT OIL COMPANY,2023,101934.75487806794,107
272126,SHAANXI YANCHANG PETROLEUM,2015,586.6364199623877,51
272126,SHAANXI YANCHANG PETROLEUM,2016,520.6917921398478,38
272126,SHAANXI YANCHANG PETROLEUM,2017,595.731082317372,34
272126,SHAANXI YANCHANG PETROLEUM,2018,1099.2137321108285,33
272126,SHAANXI YANCHANG PETROLEUM,2019,1157.3337125187254,53
355385,SAUDI ARAMCO BASE OIL CO,2018,1069.0109789987896,31
355385,SAUDI ARAMCO BASE OIL CO,2019,1049.5809413436668,491
355385,SAUDI ARAMCO BASE OIL CO,2020,849.8968613415267,570
355385,SAUDI ARAMCO BASE OIL CO,2021,1800.7782292233892,468
355385,SAUDI ARAMCO BASE OIL CO,2022,2824.3548530573676,582
355385,SAUDI ARAMCO BASE OIL CO,2023,2530.5527516604443,473
